"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1000uF","","","","",""
"C2","1","100uF","","","","",""
"HTC1","1","1","","","","heltec_wifi_lora:heltec_wifi_lora_v3",""
"J1","1","Anemoscope","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J2","1","DHT-11","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",""
"J3","1","Anemometer","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J4","1","Voltmeter","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J5","1","Amperimeter","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J6","1","Jack-DC","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"J7","1","volt_in","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J8","1","amp_in","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J9","1","BMP-280","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"J10","1","Pluviometer","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"lm1","1","","","","","Converter_DCDC:lm2596_board",""
"R1","1","16k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2,R3","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"rtcsd1","1","","","","","logical_converter:rtc_sdcard",""
"vc1,vc2","2","","","","","logical_converter:logical_converter",""
